taxon,rbcL,matK,ITS,trnL-trnF,
Crataegus chrysocarpa,HQ590047.1,KC251019.1,KC173956.1,,
Crataegus crus-galli,KC251250.1,KC251023.1,EF127010.1,AM157402.1,
Crataegus flabellata,,,EU500440.1,,
Crataegus intricata,,,,,
Crataegus mollis,HQ590052.1,HQ593254.1,EF127012.1,,
Crataegus pedicellata,,,,,
Crataegus pruinosa,,,,,
Crataegus punctata,HQ590053.1,KC251126.1,KC174275.1,,
Crataegus succulenta,JQ391237.1,JQ391066.1,,JQ392349.1,
Crotalaria sagittalis,,,,,
Cryptogramma stelleri,KC700116.1,,,DQ432691.1,
Cryptotaenia canadensis,DQ006050.1,HQ593258.1,DQ005964.1,,
Cuscuta campestris,EU330268.1,,AY880318.1,KC569803.1,
Cuscuta cephalanthi,EU330264.1,,AY554399.1,EF194414.1,
Cuscuta compacta,AY558863.1,,AY558825.1,EF194426.1,
Cuscuta coryli,KJ436629.1,,EF194540.1,EF194290.1,
Cuscuta glomerata,EU330265.1,,EF194644.1,EF194433.1,
Cuscuta gronovii,AJ320207.2,,AY554402.1,AY101167.1,
Cuscuta pentagona,AY101056.1,,AY558821.1,AY101165.1,
Cuscuta polygonorum,,,EU330298.1,EF194455.1,
Cycloloma atriplicifolium,HM587598.1,,HQ218997.1,,
Cynoglossum virginianum,,,,KC542491.1,
Cyperus acuminatus,,,KF146652.1,,
Cyperus bipartitus,,,,,
Cyperus dentatus,,,,,
Cyperus diandrus,,,,,
Cyperus erythrorhizos,DQ006091.1,KJ772699.1,KF193571.1,,
Cyperus esculentus,HM849937.1,HM850854.1,KF193572.1,,
Cyperus flavescens,Y13005.1,HM850856.1,KF150598.1,,
Cyperus houghtonii,,,,,
Cyperus lupulinus,HQ590056.1,,KF150564.1,,
Cyperus odoratus,AB369949.1,KJ772706.1,KF150569.1,,
