taxon,rbcL,matK,ITS,trnL-trnF
Carex pensylvanica,HQ590007.1,HQ593215.1,AY757622.1,
Carex plantaginea,HQ590008.1,,AY757613.1,AY757540.1
Carex platyphylla,KJ841198.1,KJ840885.1,,
Carex praegracilis,,,EU001049.1,
Carex prairea,,,DQ115252.1,
Carex prasina,KJ841199.1,,AF285043.1,AF284941.1
Carex praticola,,,AY779145.1,
Carex projecta,KF977472.1,,KF977437.1,AY757487.1
Carex pseudocyperus,KJ841201.1,JN894711.1,EU352234.1,
Carex radiata,KJ841204.1,KJ840886.1,AY757424.1,AY757492.1
Carex retrorsa,HQ590010.1,HQ593216.1,AY757577.1,AY757504.1
Carex richardsonii,,,,
Carex rosea,HQ590012.1,,AY757425.1,AY757491.1
Carex rugosperma,KJ841211.1,KJ840887.1,AF284978.1,AF284876.1
Carex sartwellii,,,DQ115266.1,
